RECORD_ID,RECORD_DATETIME,RECORD_URL,RECORD_TITLE,RECORD_TEXT,DOMAIN_ROOT_URL,CITY_NAME,STATE_CODE,COUNTRY_CODE,GPS_COORDINATES,AUTHOR_ID,AUTHOR_HANDLE,AUTHOR_NAME,AUTHOR_GENDER,AUTHOR_DESCRIPTION,_AUTHOR_PROFILE_URL,AUTHOR_AVATAR_URL,AUTHOR_FOLLOWERS,AUTHOR_VERIFIED_STATUS,META_TAGS,META_TAGS2,NET_PROMOTER_SCORE,OVERALL_STAR_RATING,OVERALL_SURVEY_SCORE,SOURCE_TYPE
"page5-review2","Aug 14, 2019","","Worth it!","Didn't realize how worn out my original pads were. This pack comes with two and it was an easy install. Happy to see that my mouse now glides twice as far!","","","","","","","","jo930105","","","","","","","Hotline-Games-Logitech-G502-Gaming-Mouse-Feet-Replacement-Teflon-Mouse-Skate","EbayReview","","","",""
"page5-review3","Sep 06, 2019","","Amazing Mouse Skates.","I was at first skeptical about new mouse skates for Logitech G502. They apply very easy and make your mouse feel brand new.","","","","","","","","devinthesupreme","","","","","","","Hotline-Games-Logitech-G502-Gaming-Mouse-Feet-Replacement-Teflon-Mouse-Skate","EbayReview","","","",""
"page5-review4","May 09, 2019","","Great ahipping and a great product","At first when I got the feet I put them on and thought they weren’t work and really stick but then I realized there was a protective film over the bottom took them off and was surprised at how well they preform","","","","","","","","andrey4536","","","","","","","Hotline-Games-Logitech-G502-Gaming-Mouse-Feet-Replacement-Teflon-Mouse-Skate","EbayReview","","","",""
"page6","","https://www.ebay.com/itm/Logitech-G640-Large-Cloth-Gaming-Mousepad-/274327750282","Logitech G640 Large Cloth Gaming Mousepad","","","","","","","","","","","","","","","","Logitech-G640-Large-Cloth-Gaming-Mousepad-","EbayReview","","","",""
"page6","","https://www.ebay.com/itm/Hotline-Games-Logitech-G502-Gaming-Mouse-Feet-Replacement-Teflon-Mouse-Skate/181758688827","Hotline Games - Logitech G502 Gaming Mouse Feet Replacement Teflon Mouse Skate","","","","","","","","","","","","","","","","Hotline-Games-Logitech-G502-Gaming-Mouse-Feet-Replacement-Teflon-Mouse-Skate","EbayReview","","","",""
"page6-review0","Jun 01, 2019","","Improved response with easy install, worth the higher price for the higher quality","Very easy to install, Very good quality. Improves mouse performance. Increased wear time compared to original (or thinner) pards.","","","","","","","","talk-computer","","","","","","","Hotline-Games-Logitech-G502-Gaming-Mouse-Feet-Replacement-Teflon-Mouse-Skate","EbayReview","","","",""
"page6-review1","May 24, 2019","","A must for a replacement!","Cheaper than original, better glide than original! Definitely worth the purchase if you are in the market for these replacement feet; comes with two sets, in case you need to replace them again; original is only one set for around $15, and doesn't have as much as a smooth glide as this one does.","","","","","","","","raficor0","","","","","","","Hotline-Games-Logitech-G502-Gaming-Mouse-Feet-Replacement-Teflon-Mouse-Skate","EbayReview","","","",""
"page6-review2","Aug 14, 2019","","Worth it!","Didn't realize how worn out my original pads were. This pack comes with two and it was an easy install. Happy to see that my mouse now glides twice as far!","","","","","","","","jo930105","","","","","","","Hotline-Games-Logitech-G502-Gaming-Mouse-Feet-Replacement-Teflon-Mouse-Skate","EbayReview","","","",""
"page6-review3","Sep 06, 2019","","Amazing Mouse Skates.","I was at first skeptical about new mouse skates for Logitech G502. They apply very easy and make your mouse feel brand new.","","","","","","","","devinthesupreme","","","","","","","Hotline-Games-Logitech-G502-Gaming-Mouse-Feet-Replacement-Teflon-Mouse-Skate","EbayReview","","","",""
"page6-review4","May 09, 2019","","Great ahipping and a great product","At first when I got the feet I put them on and thought they weren’t work and really stick but then I realized there was a protective film over the bottom took them off and was surprised at how well they preform","","","","","","","","andrey4536","","","","","","","Hotline-Games-Logitech-G502-Gaming-Mouse-Feet-Replacement-Teflon-Mouse-Skate","EbayReview","","","",""
"page7","","https://www.ebay.com/itm/Hotline-Gaming-Logitech-G502-Mouse-Mic-Feet-Skates-2Sets-0-6mm-NEW/271718757692","Hotline Gaming Logitech G502 Mouse/Mic Feet/Skates 2Sets 0.6mm NEW","","","","","","","","","","","","","","","","Hotline-Gaming-Logitech-G502-Mouse-Mic-Feet-Skates-2Sets-0-6mm-NEW","EbayReview","","","",""
"page7-review0","Jun 01, 2019","","Improved response with easy install, worth the higher price for the higher quality","Very easy to install, Very good quality. Improves mouse performance. Increased wear time compared to original (or thinner) pards.","","","","","","","","talk-computer","","","","","","","Hotline-Gaming-Logitech-G502-Mouse-Mic-Feet-Skates-2Sets-0-6mm-NEW","EbayReview","","","",""
"page7-review1","May 24, 2019","","A must for a replacement!","Cheaper than original, better glide than original! Definitely worth the purchase if you are in the market for these replacement feet; comes with two sets, in case you need to replace them again; original is only one set for around $15, and doesn't have as much as a smooth glide as this one does.","","","","","","","","raficor0","","","","","","","Hotline-Gaming-Logitech-G502-Mouse-Mic-Feet-Skates-2Sets-0-6mm-NEW","EbayReview","","","",""
"page7-review2","Aug 14, 2019","","Worth it!","Didn't realize how worn out my original pads were. This pack comes with two and it was an easy install. Happy to see that my mouse now glides twice as far!","","","","","","","","jo930105","","","","","","","Hotline-Gaming-Logitech-G502-Mouse-Mic-Feet-Skates-2Sets-0-6mm-NEW","EbayReview","","","",""
"page7-review3","Sep 06, 2019","","Amazing Mouse Skates.","I was at first skeptical about new mouse skates for Logitech G502. They apply very easy and make your mouse feel brand new.","","","","","","","","devinthesupreme","","","","","","","Hotline-Gaming-Logitech-G502-Mouse-Mic-Feet-Skates-2Sets-0-6mm-NEW","EbayReview","","","",""
"page7-review4","May 09, 2019","","Great ahipping and a great product","At first when I got the feet I put them on and thought they weren’t work and really stick but then I realized there was a protective film over the bottom took them off and was surprised at how well they preform","","","","","","","","andrey4536","","","","","","","Hotline-Gaming-Logitech-G502-Mouse-Mic-Feet-Skates-2Sets-0-6mm-NEW","EbayReview","","","",""
"page8","","https://www.ebay.com/itm/2-Sets-Mouse-Skatez-Mouse-Feet-Mice-Pad-for-Logitech-G700-G700S-Laser-Mouse/143653543171","2 Sets Mouse Skatez / Mouse Feet Mice Pad for Logitech G700 G700S Laser Mouse","","","","","","","","","","","","","","","","2-Sets-Mouse-Skatez-Mouse-Feet-Mice-Pad-for-Logitech-G700-G700S-Laser-Mouse","EbayReview","","","",""
"page9","","https://www.ebay.com/itm/1Pack-4-Sets-Gaming-Mouse-Feet-Skates-Teflon-for-Logitech-G502-Laser-Mouse/263136318319","1Pack (4 Sets) Gaming Mouse Feet Skates Teflon for Logitech G502 Laser Mouse","","","","","","","","","","","","","","","","1Pack-4-Sets-Gaming-Mouse-Feet-Skates-Teflon-for-Logitech-G502-Laser-Mouse","EbayReview","","","",""
"page10","","https://www.ebay.com/itm/Logitech-G640-Large-Cloth-Gaming-Mousepad-Black-Blue/223963215955","Logitech G640 Large Cloth Gaming Mousepad (Black/Blue)","","","","","","","","","","","","","","","","Logitech-G640-Large-Cloth-Gaming-Mousepad-Black-Blue","EbayReview","","","",""
"page11","","https://www.ebay.com/itm/Logitech-G840-XL-Gaming-Pad-Mouse-Keyboard-Whole-Desk-Coverage/383660906598","Logitech G840 XL Gaming Pad - Mouse / Keyboard / Whole Desk Coverage","","","","","","","","","","","","","","","","Logitech-G840-XL-Gaming-Pad-Mouse-Keyboard-Whole-Desk-Coverage","EbayReview","","","",""
"page12","","https://www.ebay.com/itm/Logitech-G640-Large-Cloth-Gaming-Mouse-Pad/254142646520","Logitech G640 Large Cloth Gaming Mouse Pad","","","","","","","","","","","","","","","","Logitech-G640-Large-Cloth-Gaming-Mouse-Pad","EbayReview","","","",""
"page12","","https://www.ebay.com/itm/Logitech-G640-Large-Cloth-Gaming-Mousepad-Black-Blue/223963215955","Logitech G640 Large Cloth Gaming Mousepad (Black/Blue)","","","","","","","","","","","","","","","","Logitech-G640-Large-Cloth-Gaming-Mousepad-Black-Blue","EbayReview","","","",""
"page12","","https://www.ebay.com/itm/Logitech-G640-Large-Cloth-Gaming-Mouse-Pad/254142646520","Logitech G640 Large Cloth Gaming Mouse Pad","","","","","","","","","","","","","","","","Logitech-G640-Large-Cloth-Gaming-Mouse-Pad","EbayReview","","","",""
"page12","","https://www.ebay.com/itm/Hotline-Gaming-Logitech-G502-Mouse-Mic-Feet-Skates-2Sets-0-6mm-NEW/271718757692","Hotline Gaming Logitech G502 Mouse/Mic Feet/Skates 2Sets 0.6mm NEW","","","","","","","","","","","","","","","","Hotline-Gaming-Logitech-G502-Mouse-Mic-Feet-Skates-2Sets-0-6mm-NEW","EbayReview","","","",""
"page12-review0","Jun 01, 2019","","Improved response with easy install, worth the higher price for the higher quality","Very easy to install, Very good quality. Improves mouse performance. Increased wear time compared to original (or thinner) pards.","","","","","","","","talk-computer","","","","","","","Hotline-Gaming-Logitech-G502-Mouse-Mic-Feet-Skates-2Sets-0-6mm-NEW","EbayReview","","","",""
"page12-review1","May 24, 2019","","A must for a replacement!","Cheaper than original, better glide than original! Definitely worth the purchase if you are in the market for these replacement feet; comes with two sets, in case you need to replace them again; original is only one set for around $15, and doesn't have as much as a smooth glide as this one does.","","","","","","","","raficor0","","","","","","","Hotline-Gaming-Logitech-G502-Mouse-Mic-Feet-Skates-2Sets-0-6mm-NEW","EbayReview","","","",""
"page12-review2","Aug 14, 2019","","Worth it!","Didn't realize how worn out my original pads were. This pack comes with two and it was an easy install. Happy to see that my mouse now glides twice as far!","","","","","","","","jo930105","","","","","","","Hotline-Gaming-Logitech-G502-Mouse-Mic-Feet-Skates-2Sets-0-6mm-NEW","EbayReview","","","",""
"page12-review3","Sep 06, 2019","","Amazing Mouse Skates.","I was at first skeptical about new mouse skates for Logitech G502. They apply very easy and make your mouse feel brand new.","","","","","","","","devinthesupreme","","","","","","","Hotline-Gaming-Logitech-G502-Mouse-Mic-Feet-Skates-2Sets-0-6mm-NEW","EbayReview","","","",""
"page12-review4","May 09, 2019","","Great ahipping and a great product","At first when I got the feet I put them on and thought they weren’t work and really stick but then I realized there was a protective film over the bottom took them off and was surprised at how well they preform","","","","","","","","andrey4536","","","","","","","Hotline-Gaming-Logitech-G502-Mouse-Mic-Feet-Skates-2Sets-0-6mm-NEW","EbayReview","","","",""
"page13","","https://www.ebay.com/itm/2-Set-Hotline-Games-Mouse-Feet-Mouse-Skates-Gildes-for-Logitech-G502-Laser-Mouse/254274162986","2 Set Hotline Games Mouse Feet Mouse Skates Gildes for Logitech G502 Laser Mouse","","","","","","","","","","","","","","","","2-Set-Hotline-Games-Mouse-Feet-Mouse-Skates-Gildes-for-Logitech-G502-Laser-Mouse","EbayReview","","","",""
"page13-review0","Jul 06, 2020","","Smooth mouse skates, solid quality.","These are very easy to apply. These have been on my mouse for about 2 weeks and they have felt good. They are as good if not better than the original mouse skates.No complaints here.","","","","","","","","hassand1020","","","","","","","2-Set-Hotline-Games-Mouse-Feet-Mouse-Skates-Gildes-for-Logitech-G502-Laser-Mouse","EbayReview","","","",""
"page14","","https://www.ebay.com/itm/For-Logitech-G304-G305-Prodigy-Gaming-Mouse-Feet-Replacement-Teflon-Skate-2018/312347755671","For Logitech G304 G305 Prodigy Gaming Mouse Feet Replacement Teflon Skate 2018","","","","","","","","","","","","","","","","For-Logitech-G304-G305-Prodigy-Gaming-Mouse-Feet-Replacement-Teflon-Skate-2018","EbayReview","","","",""
